,Title,Genres,Ratings,Director
0,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.3,Jon Watts
1,Dune,"Action, Adventure, Drama",8.0,Denis Villeneuve
2,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Adam McKay
3,Squid Game,"Action, Drama, Mystery",8.0,
4,Zack Snyder's Justice League,"Action, Adventure, Fantasy",8.0,Zack Snyder
5,No Time to Die,"Action, Adventure, Thriller",7.3,Cary Joji Fukunaga
6,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",7.4,Destin Daniel Cretton
7,Black Widow,"Action, Adventure, Sci-Fi",6.7,Cate Shortland
8,Free Guy,"Action, Adventure, Comedy",7.1,Shawn Levy
9,The Suicide Squad,"Action, Adventure, Comedy",7.2,James Gunn
10,Eternals,"Action, Adventure, Fantasy",6.3,Chloé Zhao
11,WandaVision,"Action, Comedy, Drama",7.9,
12,Loki,"Action, Adventure, Fantasy",8.2,
13,Aspirants,Drama,9.2,
14,Red Notice,"Action, Comedy, Thriller",6.3,Rawson Marshall Thurber
15,The Matrix Resurrections,"Action, Sci-Fi",5.7,Lana Wachowski
16,Nobody,"Action, Crime, Drama",7.4,Ilya Naishuller
17,Cruella,"Adventure, Comedy, Crime",7.3,Craig Gillespie
18,Venom: Let There Be Carnage,"Action, Adventure, Sci-Fi",5.9,Andy Serkis
19,Encanto,"Animation, Comedy, Family",7.2,Jared Bush
20,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.2,
21,Godzilla vs. Kong,"Action, Sci-Fi, Thriller",6.3,Adam Wingard
22,The Tomorrow War,"Action, Adventure, Drama",6.5,Chris McKay
23,Jai Bhim,"Crime, Drama, Mystery",8.9,T.J. Gnanavel
24,Arcane,"Animation, Action, Adventure",9.0,
25,Jungle Cruise,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra
26,Radhe,"Action, Crime, Thriller",1.9,Prabhu Deva
27,Army of the Dead,"Action, Crime, Horror",5.7,Zack Snyder
28,Mortal Kombat,"Action, Adventure, Fantasy",6.1,Simon McQuoid
29,Wrath of Man,"Action, Crime, Thriller",7.1,Guy Ritchie
30,Hawkeye,"Action, Adventure, Crime",7.5,
31,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,Jason Reitman
32,The Power of the Dog,"Drama, Romance, Western",6.8,Jane Campion
33,Luca,"Animation, Adventure, Comedy",7.4,Enrico Casarosa
34,Mare of Easttown,"Crime, Drama, Mystery",8.5,
35,The Last Duel,"Action, Drama, History",7.4,Ridley Scott
36,Raya and the Last Dragon,"Animation, Action, Adventure",7.3,Don Hall
37,The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,
38,The King's Man,"Action, Adventure, Thriller",6.3,Matthew Vaughn
39,Nightmare Alley,"Crime, Drama, Thriller",7.0,Guillermo del Toro
40,F9: The Fast Saga,"Action, Crime, Thriller",5.2,Justin Lin
41,Invincible,"Animation, Action, Adventure",8.7,
42,Last Night in Soho,"Drama, Horror, Mystery",7.1,Edgar Wright
43,CODA,"Comedy, Drama, Music",8.0,Sian Heder
44,The Guilty,"Crime, Drama, Thriller",6.3,Antoine Fuqua
45,Shershaah,"Action, Biography, Drama",8.4,Vishnuvardhan
46,House of Gucci,"Biography, Crime, Drama",6.6,Ridley Scott
47,Dhindora,"Comedy, Drama",8.8,
48,The French Dispatch,"Comedy, Drama, Romance",7.2,Wes Anderson
49,Old,"Drama, Horror, Mystery",5.8,M. Night Shyamalan
50,The Conjuring: The Devil Made Me Do It,"Horror, Mystery, Thriller",6.3,Michael Chaves
51,Midnight Mass,"Drama, Fantasy, Horror",7.7,
52,What If...?,"Animation, Action, Adventure",7.4,
53,The Unforgivable,"Crime, Drama",7.1,Nora Fingscheidt
54,The Mitchells vs the Machines,"Animation, Adventure, Comedy",7.6,Michael Rianda
55,Lupin,"Action, Crime, Drama",7.5,
56,"tick, tick... BOOM!","Biography, Drama, Musical",7.5,Lin-Manuel Miranda
57,King Richard,"Biography, Drama, Sport",7.5,Reinaldo Marcus Green
58,The Wheel of Time,"Action, Adventure, Drama",7.1,
59,The Little Things,"Crime, Drama, Mystery",6.3,John Lee Hancock
60,The Green Knight,"Adventure, Drama, Fantasy",6.6,David Lowery
61,Licorice Pizza,"Comedy, Drama, Romance",7.3,Paul Thomas Anderson
62,Hitman's Wife's Bodyguard,"Action, Comedy, Crime",6.1,Patrick Hughes
63,Malignant,"Crime, Horror, Mystery",6.2,James Wan
64,Dexter: New Blood,"Crime, Drama, Mystery",8.1,
65,Shadow and Bone,"Action, Adventure, Drama",7.6,
66,Only Murders in the Building,"Comedy, Crime, Drama",8.1,
67,Finch,"Adventure, Drama, Sci-Fi",6.8,Miguel Sapochnik
68,Maid,Drama,8.4,
69,Fear Street: Part One - 1994,"Drama, Horror, Mystery",6.2,Leigh Janiak
70,West Side Story,"Crime, Drama, Musical",7.2,Steven Spielberg
71,Sooryavanshi,"Action, Crime, Thriller",6.3,Rohit Shetty
72,Halloween Kills,"Horror, Thriller",5.5,David Gordon Green
73,Judas and the Black Messiah,"Biography, Drama, History",7.4,Shaka King
74,Attack on Titan,"Animation, Action, Adventure",9.9,Jun Shishido
75,Army of Thieves,"Action, Comedy, Crime",6.4,Matthias Schweighöfer
76,The Woman in the Window,"Crime, Drama, Mystery",5.7,Joe Wright
77,The Dig,"Biography, Drama, History",7.1,Simon Stone
78,Master,"Action, Thriller",7.3,Lokesh Kanagaraj
79,Space Jam: A New Legacy,"Animation, Adventure, Comedy",4.4,Malcolm D. Lee
80,Pig,"Drama, Mystery",6.9,Michael Sarnoski
81,Coming 2 America,Comedy,5.3,Craig Brewer
82,Pushpa: The Rise - Part 1,"Action, Adventure, Crime",7.6,Sukumar
83,The Black Phone,"Horror, Thriller",7.0,Scott Derrickson
84,Belfast,"Biography, Drama",7.3,Kenneth Branagh
85,Spencer,"Biography, Drama",6.6,Pablo Larraín
86,Fear Street: Part Two - 1978,"Drama, Horror, Mystery",6.7,Leigh Janiak
87,The Lost Daughter,Drama,6.7,Maggie Gyllenhaal
88,The White Lotus,"Comedy, Drama",7.6,
89,Candyman,"Horror, Thriller",5.9,Nia DaCosta
90,The Harder They Fall,"Action, Drama, Western",6.5,Jeymes Samuel
91,Tandav,"Drama, Thriller",4.5,
92,Kate,"Action, Adventure, Crime",6.2,Cedric Nicolas-Troyan
93,The White Tiger,"Crime, Drama",7.1,Ramin Bahrani
